,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
3749,Gon-ji-am,2018,6.3,"6,759",Horror,95 ,Film,Not Rated,-,None,Mild,Mild,Mild,Severe
3750,Body Double,1984,6.8,"31,694","Crime, Drama, Mystery",114 ,Film,R,-,Severe,Moderate,Moderate,Mild,Moderate
3751,Girl Meets World,1984,7.1,"13,797","Comedy, Drama, Family",23 ,Series,TV-G,72,None,None,None,None,None
3752,Pumpkinhead,1988,6.2,"22,424","Fantasy, Horror",86 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
3753,The Avengers,1988,8.3,"7,317","Action, Comedy, Crime",60 ,Series,TV-14,161,None,Mild,None,Mild,Mild
3754,Friday the 13th Part VIII: Jason Takes Manhattan,1989,4.6,"36,049","Adventure, Horror, Thriller",100 ,Film,R,-,Mild,Severe,Moderate,Moderate,Moderate
3755,Spin City,1989,7.2,"27,635",Comedy,30 ,Series,TV-14,145,Mild,Mild,Mild,Mild,None
3756,Life of Brian,1979,8.1,"382,441",Comedy,94 ,Film,R,-,Moderate,Mild,Moderate,None,None
3757,You Should Have Left,2020,5.4,"18,710","Horror, Thriller",93 ,Film,R,-,Mild,Mild,Moderate,None,Moderate
3758,Dawn of the Planet of the Apes,2014,7.6,"423,774","Action, Adventure, Drama",130 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
3759,Flashdance,1983,6.2,"50,601","Drama, Music, Romance",95 ,Film,R,-,Moderate,Mild,Moderate,Mild,None
3762,Superhero Movie,2008,4.6,"66,314","Action, Comedy, Sci-Fi",75 ,Film,PG-13,-,Mild,Mild,Moderate,Moderate,Mild
3763,The Facts of Life,2008,6.8,"6,709","Comedy, Family",30 ,Series,TV-PG,201,Mild,None,None,None,None
3764,True Grit,1969,7.4,"45,631","Adventure, Drama, Western",128 ,Film,G,-,None,Moderate,Mild,Mild,Moderate
3766,Shakespeare in Love,1998,7.1,"219,389","Comedy, Drama, History",123 ,Film,R,-,Moderate,Mild,Mild,Mild,None
3767,This Is England,2006,7.7,"118,985","Crime, Drama",101 ,Film,Not Rated,-,Moderate,Severe,Severe,Moderate,Severe
3768,Scener ur ett äktenskap,1974,8.4,"5,803",Drama,169 ,Film,PG,-,Moderate,Mild,Mild,Mild,Mild
3769,Samurai Jack,1974,8.5,"49,177","Animation, Action, Adventure",25 ,Series,TV-14,62,Mild,Moderate,Mild,None,Moderate
3770,Friday the 13th Part VII: The New Blood,1988,5.3,"35,105","Horror, Thriller",88 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate
3771,Masters of the Universe,1987,5.4,"39,471","Action, Adventure, Fantasy",106 ,Film,PG,-,None,Mild,Mild,None,Mild
3772,Songbird,2020,4.7,"8,455","Drama, Sci-Fi, Thriller",84 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3773,Lust och fägring stor,1995,6.9,"6,240","Drama, Romance, War",130 ,Film,Unrated,-,Moderate,Mild,Mild,Mild,Mild
3774,Malevolent,2018,4.8,"12,289","Horror, Mystery, Thriller",89 ,Film,TV-MA,-,None,Severe,Moderate,Mild,Moderate
3775,Hot Tub Time Machine,2010,6.4,"167,799","Comedy, Sci-Fi",101 ,Film,R,-,Moderate,Moderate,Severe,Severe,Mild
3776,Fruits Basket,2010,8.6,"4,186","Animation, Comedy, Drama",24 ,Series,TV-14,63,Mild,Mild,Mild,None,Moderate
3777,The 5th Wave,2016,5.2,"104,856","Action, Adventure, Sci-Fi",112 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
3778,Bill & Ted's Excellent Adventure,1989,7.0,"125,109","Adventure, Comedy, Music",90 ,Film,PG,-,Mild,Mild,Mild,Mild,None
3779,JFK,1991,8.0,"148,852","Drama, History, Thriller",189 ,Film,R,-,Mild,Moderate,Severe,Mild,Moderate
3780,Dolor y gloria,2019,7.5,"53,951",Drama,113 ,Film,R,-,Moderate,None,Mild,Severe,None
3781,Epic Movie,2007,2.4,"103,889","Adventure, Comedy, Fantasy",86 ,Film,PG-13,-,Moderate,Moderate,Severe,Moderate,Mild
3782,2 Guns,2013,6.7,"204,313","Action, Comedy, Crime",109 ,Film,R,-,Moderate,Severe,Severe,Mild,Moderate
3783,The Texas Chainsaw Massacre 2,1986,5.6,"30,245","Comedy, Horror",101 ,Film,Unrated,-,Mild,Severe,Moderate,Mild,Severe
3784,Garden State,2004,7.4,"211,772","Comedy, Drama, Romance",102 ,Film,R,-,Mild,None,Moderate,Moderate,None
3785,Long Shot,2019,6.8,"104,084","Comedy, Romance",125 ,Film,R,-,Moderate,Mild,Severe,Moderate,Mild
3786,The Prince of Egypt,1998,7.1,"124,846","Animation, Adventure, Drama",99 ,Film,(Banned),-,Mild,Moderate,None,Mild,Moderate
3787,EverAfter,1998,7.0,"72,569","Comedy, Drama, Romance",121 ,Film,PG-13,-,Mild,Mild,Mild,None,Mild
3788,A Call to Spy,2019,6.6,"5,173","Biography, Crime, Drama",123 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
3789,Irresistible,2020,6.3,"16,075","Comedy, Drama",101 ,Film,R,-,None,None,Moderate,Mild,None
3790,Uncle Buck,1989,7.0,"89,981",Comedy,100 ,Film,PG,-,Moderate,Mild,Moderate,Moderate,Mild
3792,Malcolm & Marie,2021,6.7,"31,844","Drama, Romance",106 ,Film,R,-,Mild,None,Severe,Mild,Mild
3794,Bimilui Soop,2021,8.5,"6,769","Crime, Drama, Mystery",60 ,Series,TV-14,32,None,Mild,Mild,Mild,Mild
3795,Kingpin,1996,6.9,"80,860","Comedy, Sport",114 ,Film,PG-13,-,Moderate,Mild,Moderate,Moderate,Mild
3796,Meatballs,1979,6.2,"20,616",Comedy,94 ,Film,PG,-,Mild,None,Mild,Mild,None
3797,The Iron Giant,1999,8.0,"181,348","Animation, Action, Adventure",86 ,Film,PG,-,None,Mild,Mild,Mild,Moderate
3798,The Expendables 2,2012,6.6,"299,416","Action, Adventure, Thriller",103 ,Film,R,-,None,Severe,Moderate,Mild,Moderate
3799,National Lampoon's Van Wilder,2002,6.4,"106,678","Comedy, Romance",92 ,Film,R,-,Severe,Mild,Moderate,Moderate,Mild
3801,Bedrag,2002,7.6,"3,692","Crime, Drama, Thriller",60 ,Series,TV-MA,30,Severe,Severe,Severe,Severe,Moderate
3802,Captain Kronos: Vampire Hunter,1974,6.5,"4,812","Adventure, Horror, Mystery",91 ,Film,R,-,Mild,Moderate,None,Mild,Moderate
3803,Scary Movie 4,2006,5.1,"117,305",Comedy,83 ,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild
3804,Crocodile Dundee,1986,6.6,"99,336","Action, Adventure, Comedy",97 ,Film,PG-13,-,Mild,Mild,Mild,Moderate,Mild
3805,Red Dwarf,1986,8.4,"33,784","Comedy, Sci-Fi",30 ,Series,TV-14,74,Mild,Mild,Moderate,Mild,Mild
3806,Popeye,1980,5.3,"30,801","Adventure, Comedy, Family",114 ,Film,PG,-,None,Mild,Mild,Mild,Mild
3807,North Hollywood,2021,6.1,"1,336","Comedy, Drama, Sport",93 ,Film,Not Rated,-,Mild,Mild,Severe,Moderate,Mild
3808,Return to Oz,1985,6.7,"26,078","Adventure, Family, Fantasy",113 ,Film,PG,-,None,Mild,None,Mild,Moderate
3810,The Tourist,2010,6.0,"233,119","Action, Thriller",103 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
3811,Twin Peaks: Fire Walk with Me,1992,7.3,"92,724","Drama, Horror, Mystery",134 ,Film,R,-,Severe,Severe,Moderate,Severe,Severe
3812,Spartacus,1960,7.9,"130,175","Adventure, Biography, Drama",197 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3813,Terminator Salvation,2009,6.5,"351,611","Action, Sci-Fi",115 ,Film,PG-13,-,Mild,Moderate,Moderate,None,Moderate
3814,Still Game,2009,8.8,"6,912",Comedy,30 ,Series,TV-14,63,Mild,None,Moderate,Mild,None
3815,American Made,2017,7.2,"168,917","Action, Comedy, Crime",115 ,Film,R,-,Moderate,Mild,Severe,Moderate,Mild
3816,Frankenstein,1994,6.4,"53,476","Drama, Horror, Romance",123 ,Film,R,-,Mild,Moderate,Mild,None,Moderate
3817,Free Fire,2016,6.4,"44,817","Action, Comedy, Crime",91 ,Film,R,-,None,Severe,Severe,Moderate,Moderate
3819,Underworld: Blood Wars,2016,5.8,"73,082","Action, Adventure, Fantasy",91 ,Film,R,-,Mild,Severe,Moderate,None,Moderate
3821,Valkyrie,2008,7.1,"235,251","Drama, History, Thriller",121 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
3822,Wolf,1994,6.2,"54,670","Drama, Horror, Romance",125 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
3824,Crimson Tide,1995,7.3,"107,432","Action, Drama, Thriller",116 ,Film,R,-,None,Moderate,Severe,Mild,Moderate
3825,Industry,1995,6.9,"6,086",Drama,50 ,Series,TV-MA,11,Severe,Mild,Moderate,Severe,None
3826,Valeria,1995,6.4,"4,556","Comedy, Drama, Romance",47 ,Series,TV-MA,16,Severe,None,Moderate,Moderate,None
3829,Scanners,1981,6.8,"52,008","Horror, Sci-Fi, Thriller",103 ,Film,R,-,None,Severe,Mild,Mild,Severe
3830,An Unfinished Life,2005,7.0,"30,366","Drama, Family, Romance",108 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
3831,T2 Trainspotting,2017,7.2,"119,073",Drama,117 ,Film,R,-,Severe,Moderate,Severe,Severe,Moderate
3832,Somebody Up There Likes Me,1956,7.5,"7,790","Biography, Drama, Sport",113 ,Film,Passed,-,None,Moderate,Mild,Mild,Mild
3833,Fallen,1998,7.0,"79,162","Action, Crime, Drama",124 ,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate
3834,Best in Show,2000,7.5,"59,330",Comedy,90 ,Film,PG-13,-,Moderate,Mild,Mild,None,None
3835,Midnight Run,1988,7.5,"82,314","Action, Comedy, Crime",126 ,Film,R,-,None,Mild,Severe,Moderate,Mild
3836,The Farewell,2019,7.6,"57,921","Comedy, Drama",100 ,Film,PG,-,None,None,Mild,Mild,None
3837,Ronin,1998,7.3,"178,049","Action, Crime, Thriller",122 ,Film,R,-,None,Severe,Moderate,Mild,Mild
3838,Ancient Aliens,1998,7.2,"10,450","Documentary, Fantasy, History",42 ,Series,TV-PG,204,None,Mild,Mild,None,Moderate
3839,George of the Jungle,1997,5.5,"74,855","Action, Adventure, Comedy",92 ,Film,PG,-,Mild,Mild,None,Mild,Mild
3840,Collateral Beauty,2016,6.8,"96,222","Drama, Romance",97 ,Film,PG-13,-,None,None,Mild,None,None
3841,17 Again,2009,6.4,"189,984","Comedy, Drama, Fantasy",102 ,Film,PG-13,-,Moderate,Mild,Mild,Moderate,None
3842,On Becoming a God in Central Florida,2019,7.2,"4,998",Comedy,46 ,Series,TV-MA,11,Mild,Moderate,Moderate,Moderate,Mild
3845,Killer Klowns from Outer Space,1988,6.2,"35,573","Comedy, Horror, Sci-Fi",88 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
3846,Escape Plan: The Extractors,2019,4.4,"13,313","Action, Crime, Thriller",97 ,Film,R,-,None,Severe,Severe,None,Moderate
3847,Freaky Friday,2003,6.2,"131,577","Comedy, Family, Fantasy",97 ,Film,PG,-,Mild,None,Mild,None,Mild
3851,Anaconda,1997,4.8,"100,818","Action, Adventure, Horror",89 ,Film,PG-13,-,Mild,Severe,Moderate,Mild,Moderate
3852,The Inspector Lynley Mysteries,1997,7.4,"4,546","Crime, Drama, Mystery",90 ,Series,TV-14,23,None,Severe,None,Severe,Severe
3853,Horns,2013,6.5,"81,030","Comedy, Crime, Drama",120 ,Film,R,-,Severe,Severe,Severe,Moderate,Moderate
3854,The Spiderwick Chronicles,2008,6.5,"92,188","Action, Adventure, Drama",96 ,Film,PG,-,None,Moderate,Mild,None,Moderate
3856,Diff'rent Strokes,2021,6.6,"10,434","Comedy, Drama, Family",30 ,Series,TV-PG,181,Mild,None,None,Mild,Mild
3858,Cat's Eye,1985,6.3,"24,104","Comedy, Horror, Thriller",94 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3860,Night at the Museum: Secret of the Tomb,2014,6.2,"113,956","Adventure, Comedy, Family",98 ,Film,PG,-,None,Mild,Mild,Mild,Mild
3861,Return to the Blue Lagoon,1991,5.2,"19,243","Adventure, Drama, Romance",102 ,Film,PG-13,-,Mild,Mild,None,None,None
3862,The Protector,1991,6.6,"33,550","Action, Fantasy, Sci-Fi",40 ,Series,TV-MA,32,Mild,Mild,Moderate,Mild,Mild
3863,Jaws 3-D,1983,3.7,"42,287","Adventure, Horror, Thriller",99 ,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate
3864,Dick Tracy,1990,6.1,"59,868","Action, Comedy, Crime",105 ,Film,PG,-,Mild,Moderate,None,Mild,Mild
3865,The Man from Snowy River,1982,7.3,"8,530","Adventure, Drama, Romance",102 ,Film,PG,-,None,Mild,Mild,Mild,None
3866,The House of the Devil,2009,6.4,"43,143","Horror, Mystery",95 ,Film,R,-,None,Severe,Mild,Mild,Severe
3867,Lost Highway,1997,7.6,"136,693","Mystery, Thriller",134 ,Film,R,-,Severe,Severe,Moderate,Mild,Severe
3868,Tayna pechati drakona,2019,4.7,"5,579","Action, Adventure, Family",120 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
3869,Peppa Pig,2019,6.2,"4,365","Animation, Adventure, Comedy",9 ,Series,TV-Y,304,None,None,Mild,None,Mild
3870,The Dressmaker,2015,7.1,"57,473","Comedy, Drama",119 ,Film,R,-,Mild,Moderate,Mild,Mild,Moderate
3872,The Burning,1981,6.4,"17,549",Horror,91 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
3873,Sinister 2,2015,5.3,"51,685","Horror, Mystery, Thriller",97 ,Film,R,-,None,Severe,Moderate,Mild,Severe
3874,Weekend at Bernie's,1989,6.4,"52,730","Adventure, Comedy, Crime",97 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
3876,Mud,2012,7.4,"174,443",Drama,130 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
3877,La pianiste,2001,7.5,"60,093","Drama, Music",131 ,Film,R,-,Severe,Moderate,Moderate,Mild,Severe
3878,Smokey and the Bandit,1977,7.0,"48,070","Action, Adventure, Comedy",96 ,Film,PG,-,Mild,Mild,Moderate,Mild,None
3879,Dante's Peak,1997,6.0,"86,689","Action, Adventure, Thriller",108 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3880,"Doogie Howser, M.D.",1997,6.5,"8,443","Comedy, Drama, Family",30 ,Series,TV-PG,97,None,Mild,None,Mild,Mild
3881,Strange But True,2019,5.9,"4,151",Thriller,96 ,Film,PG-13,-,Mild,Mild,Moderate,Moderate,Moderate
3882,Yes Day,2021,5.7,"20,492","Comedy, Family",86 ,Film,PG,-,None,Mild,None,None,None
3883,I Spit on Your Grave: Deja Vu,2019,2.3,"2,463","Horror, Thriller",148 ,Film,Not Rated,-,Severe,Severe,Severe,Mild,Moderate
3884,The Jungle Book,1967,7.6,"173,033","Animation, Adventure, Comedy",78 ,Film,G,-,None,Mild,None,None,Mild
3885,Smokin' Aces,2006,6.7,"141,825","Action, Comedy, Crime",109 ,Film,R,-,Moderate,Severe,Severe,Severe,Severe
3886,Mannequin,1987,5.9,"30,803","Comedy, Fantasy, Romance",90 ,Film,PG,-,Mild,Mild,Mild,Mild,None
3887,Treasure Planet,2002,7.2,"110,023","Animation, Adventure, Family",95 ,Film,PG,-,None,Mild,None,Mild,Mild
3888,Gokushufudo,2002,7.3,"3,076","Animation, Action, Comedy",16 ,Series,TV-14,10,None,Mild,Moderate,Mild,None
3889,Blues Brothers 2000,1998,4.9,"32,611","Action, Comedy, Crime",123 ,Film,PG-13,-,Mild,Mild,Mild,Mild,None
3890,Easy Rider,1969,7.3,"105,849","Adventure, Drama",95 ,Film,R,-,Mild,Moderate,Mild,Severe,Mild
3891,Miranda,1969,8.2,"14,376",Comedy,30 ,Series,TV-MA,20,Mild,None,Mild,Mild,None
3892,The Ridiculous 6,2015,4.8,"46,822","Action, Adventure, Comedy",119 ,Film,TV-14,-,Moderate,Moderate,Moderate,Mild,Mild
3893,Shrek Forever After,2010,6.3,"193,816","Animation, Adventure, Comedy",93 ,Film,PG,-,Mild,Mild,Mild,Mild,Mild
3894,Heavenly Creatures,1994,7.3,"61,972","Biography, Crime, Drama",99 ,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
3895,The Brothers Grimm,2005,5.9,"118,683","Action, Adventure, Comedy",118 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
3896,Olympus Has Fallen,2013,6.5,"266,391","Action, Thriller",119 ,Film,R,-,None,Severe,Severe,Mild,Severe
3897,From Dusk Till Dawn: The Series,2013,6.9,"19,852","Action, Crime, Fantasy",45 ,Series,TV-MA,30,Moderate,Severe,Moderate,Moderate,Severe
3898,Nurse Jackie,2013,7.7,"25,825","Comedy, Drama",27 ,Series,TV-MA,80,Moderate,Moderate,Severe,Severe,Moderate
3900,Rounders,1998,7.3,"146,609","Crime, Drama",121 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Mild
3902,Sudden Impact,1983,6.6,"43,170","Action, Crime, Thriller",117 ,Film,R,-,Moderate,Severe,Moderate,Moderate,Severe
3903,The Boy Next Door,2015,4.7,"40,671",Thriller,91 ,Film,R,-,Severe,Severe,Severe,Mild,Severe
3904,The Lego Batman Movie,2017,7.3,"138,551","Animation, Action, Adventure",104 ,Film,PG,-,None,Mild,Mild,None,Mild
3905,Nanny McPhee,2005,6.6,"72,220","Comedy, Family, Fantasy",97 ,Film,PG,-,None,Mild,None,None,None
3908,Liar,2021,7.1,"8,209","Crime, Drama, Thriller",45 ,Series,TV-14,12,Mild,Mild,Mild,Mild,Moderate
3909,Tra(sgre)dire,2000,5.5,"5,389","Comedy, Drama",91 ,Film,Not Rated,-,Severe,None,Mild,Mild,None
3910,B Positive,2000,6.0,"1,906","Comedy, Drama",22 ,Series,TV-14,22,Mild,None,None,Moderate,None
3911,Roma città aperta,1945,8.1,"25,141","Drama, Thriller, War",103 ,Film,Not Rated,-,Mild,Moderate,None,Mild,Severe
3912,Swingers,1996,7.2,"79,641","Comedy, Drama",96 ,Film,R,-,Mild,None,Severe,Moderate,None
3913,Dancing with the Stars,1996,4.7,"9,647","Family, Game-Show, Music",60 ,Series,TV-PG,478,Mild,None,None,None,None
3915,The Counselor,2013,5.3,"98,660","Crime, Drama, Thriller",117 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
3917,Push,2009,6.1,"108,415","Action, Sci-Fi, Thriller",111 ,Film,PG-13,-,None,Moderate,Moderate,Moderate,Moderate
3918,The Dead Center,2018,5.8,"2,458","Horror, Mystery, Thriller",92 ,Film,Not Rated,-,None,Severe,Mild,Mild,Moderate
3919,Angel Heart,1987,7.3,"84,448","Horror, Mystery, Thriller",113 ,Film,X,-,Severe,Severe,Moderate,Moderate,Severe
3920,Jurassic World: Camp Cretaceous,1987,7.6,"5,950","Animation, Action, Adventure",24 ,Series,TV-PG,26,None,Mild,None,None,Moderate
3921,Z-O-M-B-I-E-S,2018,6.2,"4,532","Family, Musical, Romance",94 ,Film,TV-G,-,None,Mild,None,None,Mild
3922,Rock of Ages,2012,5.9,"75,925","Comedy, Drama, Musical",123 ,Film,PG-13,-,Moderate,Mild,Moderate,Moderate,None
3923,Ella Enchanted,2004,6.3,"65,283","Comedy, Family, Fantasy",96 ,Film,PG,-,None,Mild,None,None,None
3924,Letters to Juliet,2010,6.5,"96,436","Adventure, Comedy, Drama",105 ,Film,PG,-,None,None,Mild,Mild,None
3925,Nymphomaniac: Vol. II,2013,6.7,"89,446",Drama,124 ,Film,Not Rated,-,Severe,Severe,Severe,Mild,Severe
3926,Heavy Metal 2000,2000,5.4,"8,161","Animation, Action, Adventure",88 ,Film,R,-,Moderate,Moderate,Mild,Mild,Severe
3927,Timeline,2003,5.7,"61,966","Action, Adventure, Sci-Fi",116 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
3928,The Vicar of Dibley,2003,8.0,"12,777",Comedy,60 ,Series,TV-PG,30,Mild,None,Mild,Mild,None
3931,Motherland,2021,7.8,"4,103",Comedy,30 ,Series,TV-MA,19,Mild,None,Moderate,Mild,None
3932,Youth,2015,7.3,"74,786","Comedy, Drama, Music",124 ,Film,R,-,Moderate,None,Mild,Mild,Mild
3933,Annie Hall,1977,8.0,"258,522","Comedy, Romance",93 ,Film,PG,-,Moderate,None,Mild,Mild,None
3934,Red Eye,2005,6.5,"116,263",Thriller,85 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
3935,Dangerous Liaisons,1988,7.6,"67,388","Drama, Romance",119 ,Film,R,-,Moderate,Mild,Mild,None,Mild
3937,Ride Along,2014,6.2,"108,532","Action, Comedy, Crime",99 ,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Mild
3938,The Silencing,2020,6.2,"18,068","Action, Crime, Thriller",93 ,Film,R,-,Mild,Moderate,Mild,Moderate,Moderate
3939,After.Life,2009,5.9,"37,850","Drama, Mystery, Thriller",104 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
3940,Queen & Slim,2019,7.1,"28,319","Crime, Drama, Romance",132 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Moderate
3941,Central Intelligence,2016,6.3,"170,350","Action, Comedy, Crime",107 ,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild
3942,Cat People,1942,7.3,"21,459","Fantasy, Horror, Thriller",73 ,Film,Not Rated,-,Mild,Mild,None,Mild,Mild
3943,All My Children,1942,6.6,"2,788","Drama, Romance, Mystery",60 ,Series,TV-PG,4050,Severe,Severe,Severe,Severe,Severe
3944,Grandma's Boy,2006,7.0,"80,496",Comedy,94 ,Film,R,-,Moderate,Mild,Severe,Severe,None
3945,The Vow,2012,6.8,"188,981","Drama, Romance",104 ,Film,PG-13,-,Moderate,Mild,Mild,Mild,Moderate
3947,Hunter Hunter,2020,6.4,"7,919","Horror, Thriller",93 ,Film,Unrated,-,Mild,Severe,None,Mild,Severe
3949,The Man in the Moon,1991,7.3,"16,228","Drama, Romance",99 ,Film,PG-13,-,Mild,Moderate,Mild,None,Mild
3951,The Kid Detective,2020,7.0,"14,680","Comedy, Drama, Mystery",100 ,Film,R,-,Mild,Mild,Moderate,Moderate,Mild
3953,Happy Death Day 2U,2019,6.2,"67,012","Comedy, Horror, Mystery",100 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
3954,El orfanato,2007,7.4,"151,461","Drama, Horror, Mystery",105 ,Film,R,-,None,Moderate,Mild,Mild,Moderate
3955,Salt,2010,6.4,"304,766","Action, Thriller",100 ,Film,PG-13,-,Mild,Severe,Moderate,Mild,Moderate
3956,Moxie,2021,6.7,"22,231","Comedy, Drama, Music",111 ,Film,PG-13,-,Mild,None,Mild,Mild,None
3957,Tin Star,2021,7.3,"13,236","Crime, Drama, Thriller",60 ,Series,TV-MA,25,Moderate,Severe,Severe,Moderate,Moderate
3958,Gandhi,1982,8.0,"223,910","Biography, Drama, History",191 ,Film,PG,-,None,Moderate,Mild,None,Moderate
3960,"Sex, Lies, and Videotape",1989,7.2,"52,896",Drama,100 ,Film,R,-,Mild,None,Moderate,Mild,Mild
3961,Yes Man,2008,6.8,"347,718","Comedy, Romance",104 ,Film,PG-13,-,Moderate,Mild,Moderate,Moderate,None
3962,Star Trek: Nemesis,2002,6.4,"76,729","Action, Adventure, Sci-Fi",116 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
3963,The Crying Game,1992,7.3,"53,664","Crime, Drama, Romance",112 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Severe
3965,Maze Runner: The Scorch Trials,2015,6.3,"234,897","Action, Adventure, Sci-Fi",131 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
3966,Network,1976,8.1,"152,766",Drama,121 ,Film,R,-,Mild,Mild,Moderate,Mild,Moderate
3967,The First Purge,2018,5.2,"60,219","Action, Horror, Sci-Fi",97 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
3968,The Collector,2009,6.4,"62,207","Horror, Thriller",90 ,Film,R,-,Moderate,Severe,Moderate,Mild,Severe
3969,13 Ghosts,1960,6.1,"5,929","Horror, Mystery",85 ,Film,Not Rated,-,None,Mild,None,None,Moderate
3971,The Survivalist,2015,6.4,"16,592","Drama, Sci-Fi, Thriller",104 ,Film,Not Rated,-,Severe,Severe,None,Mild,Severe
3972,Rookie Blue,2015,7.7,"16,620","Action, Crime, Drama",42 ,Series,TV-14,74,Mild,Moderate,Mild,Moderate,Mild
3973,Open Range,2003,7.4,"69,970","Action, Drama, Romance",139 ,Film,R,-,None,Moderate,Moderate,Mild,Mild
3974,Black Christmas,2019,3.4,"13,909","Horror, Mystery, Thriller",92 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild
3975,The Knick,2019,8.5,"45,989","Drama, History",58 ,Series,TV-MA,21,Moderate,Severe,Moderate,Severe,Severe
3976,The Highwaymen,2019,6.9,"83,898","Biography, Crime, Drama",132 ,Film,R,-,None,Moderate,Mild,Moderate,Moderate
3977,Patriot,2019,8.3,"13,306","Comedy, Drama, Thriller",58 ,Series,TV-MA,18,Moderate,Moderate,Severe,Moderate,Moderate
3978,The Good Shepherd,2006,6.7,"100,949","Drama, History, Thriller",167 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
3979,Home,2015,6.6,"97,439","Animation, Adventure, Comedy",94 ,Film,PG,-,None,Mild,None,None,Mild
3981,The Gambler,2014,6.1,"68,871","Crime, Drama, Thriller",111 ,Film,R,-,Moderate,Mild,Severe,Mild,Mild
3982,The Innocents,1961,7.8,"28,792",Horror,100 ,Film,Not Rated,-,None,Mild,None,None,Moderate
3983,Seeking a Friend for the End of the World,2012,6.7,"110,973","Adventure, Comedy, Drama",101 ,Film,R,-,Mild,Moderate,Mild,Moderate,Moderate
3984,Nocturne,2020,5.7,"7,328","Horror, Mystery, Thriller",90 ,Film,Not Rated,-,Mild,Moderate,Moderate,Mild,Moderate
3985,Cloudy with a Chance of Meatballs,2009,6.9,"216,940","Animation, Adventure, Comedy",90 ,Film,PG,-,None,Mild,Mild,None,Mild
3986,In the Tall Grass,2019,5.4,"51,569","Horror, Mystery, Sci-Fi",101 ,Film,TV-MA,-,Mild,Severe,Moderate,None,Moderate
3987,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,"391,697",Comedy,84 ,Film,R,-,Severe,Mild,Moderate,Mild,Mild
3988,Never Rarely Sometimes Always,2020,7.4,"23,959",Drama,101 ,Film,PG-13,-,Mild,Mild,Mild,Mild,Moderate
3989,American Mary,2012,6.3,"24,525","Drama, Horror",103 ,Film,R,-,Severe,Severe,Severe,Moderate,Severe
3990,We Were Soldiers,2002,7.2,"135,572","Action, Drama, History",138 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
3991,The Grudge,2020,4.3,"23,108","Fantasy, Horror",94 ,Film,R,-,None,Severe,Moderate,Mild,Severe
3992,The Fundamentals of Caring,2016,7.3,"67,258","Comedy, Drama",97 ,Film,TV-MA,-,Mild,None,Severe,Mild,None
3993,Newness,2017,6.3,"15,660","Drama, Romance",117 ,Film,Unrated,-,Moderate,Mild,Moderate,Moderate,Mild
3994,Dreamcatcher,2003,5.5,"90,767","Drama, Horror, Sci-Fi",136 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
3995,Tarzan,1999,7.3,"213,346","Animation, Adventure, Drama",88 ,Film,G,-,None,Mild,None,Mild,Moderate
