,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
58,Law & Order: Special Victims Unit,2021,8.0,"92,115","Crime, Drama, Mystery",60 ,Series,TV-14,502,Moderate,Moderate,Moderate,Moderate,Severe
59,Hocus Pocus,1993,6.9,"110,741","Comedy, Family, Fantasy",96 ,Film,PG,-,Mild,Mild,Mild,Mild,Moderate
60,The Office,1993,8.9,"475,207",Comedy,22 ,Series,TV-14,188,Mild,None,Mild,Mild,None
61,Chicago Fire,1993,8.0,"46,774","Action, Drama",43 ,Series,TV-14,202,Mild,Moderate,Mild,Mild,Mild
62,Dune,1984,6.4,"142,157","Action, Adventure, Sci-Fi",137 ,Film,PG-13,-,Mild,Moderate,None,Mild,Moderate
63,You,1984,7.7,"173,763","Crime, Drama, Romance",45 ,Series,TV-MA,31,Moderate,Moderate,Mild,Mild,Moderate
64,Den skyldige,2018,7.5,"52,965","Crime, Drama, Thriller",85 ,Film,R,-,None,None,Mild,None,Moderate
65,Quantum of Solace,2008,6.6,"424,649","Action, Adventure, Thriller",106 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
66,Doom Patrol,2008,7.9,"43,676","Action, Adventure, Comedy",60 ,Series,TV-MA,35,Moderate,Severe,Severe,Mild,Moderate
67,Yellowstone,2008,8.6,"48,060","Drama, Western",60 ,Series,TV-MA,32,Moderate,Moderate,Severe,Moderate,Moderate
68,The Suicide Squad,2021,7.3,"224,344","Action, Adventure, Comedy",132 ,Film,R,-,Moderate,Severe,Severe,Moderate,Severe
69,Friends,2021,8.8,"903,947","Comedy, Romance",22 ,Series,TV-PG,235,Mild,None,Mild,Mild,None
71,Brooklyn Nine-Nine,2021,8.4,"267,096","Comedy, Crime",22 ,Series,TV-14,153,Mild,Mild,Mild,Mild,Mild
72,Cruella,2021,7.4,"174,071","Adventure, Comedy, Crime",134 ,Film,PG-13,-,None,Mild,Mild,Mild,Mild
73,The Blacklist,2021,8.0,"219,628","Crime, Drama, Mystery",43 ,Series,TV-14,177,None,Moderate,Mild,Mild,Mild
74,Supernatural,2021,8.4,"411,255","Drama, Fantasy, Horror",44 ,Series,TV-14,327,Mild,Moderate,Mild,Mild,Moderate
75,Downton Abbey,2021,8.7,"180,688","Drama, Romance",58 ,Series,TV-PG,52,Mild,Mild,Mild,Mild,Mild
76,Animal Kingdom,2021,8.2,"30,515","Crime, Drama",60 ,Series,TV-MA,75,Moderate,Moderate,Moderate,Severe,Moderate
77,Criminal Minds,2021,8.1,"177,854","Crime, Drama, Mystery",42 ,Series,TV-14,323,Mild,Severe,Mild,Mild,Severe
78,Halloween,1978,7.7,"248,788","Horror, Thriller",91 ,Film,R,-,Moderate,Moderate,Mild,Mild,Severe
80,Infinite,2021,5.5,"32,451","Action, Sci-Fi, Thriller",106 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
82,The Good Doctor,2021,8.1,"78,703",Drama,41 ,Series,TV-14,80,Mild,Moderate,Mild,Mild,Mild
83,Dexter,2021,8.6,"678,377","Crime, Drama, Mystery",53 ,Series,TV-MA,96,Moderate,Severe,Severe,Mild,Severe
84,The Green Knight,2021,6.6,"53,565","Adventure, Drama, Fantasy",130 ,Film,R,-,Moderate,Moderate,None,Mild,Moderate
86,The French Dispatch,2021,7.4,"1,370","Comedy, Drama, Romance",108 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
87,The Boys,2021,8.7,"316,047","Action, Crime, Drama",60 ,Series,TV-MA,24,Severe,Severe,Severe,Moderate,Severe
89,Vikings,2021,8.5,"472,761","Action, Adventure, Drama",44 ,Series,TV-MA,93,Severe,Severe,Mild,Mild,Severe
91,Silent Witness,2021,7.8,"7,917","Crime, Drama, Mystery",120 ,Series,TV-14,232,Severe,Severe,Moderate,Moderate,Severe
93,The Card Counter,2021,6.2,"9,236","Crime, Drama, Thriller",111 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Severe
94,Lamb,2021,6.7,"2,251","Drama, Horror, Mystery",106 ,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate
95,Midsomer Murders,2021,7.8,"28,198","Crime, Drama, Mystery",90 ,Series,TV-14,132,Mild,Moderate,Mild,Mild,Moderate
96,Rick and Morty,2021,9.2,"436,882","Animation, Adventure, Comedy",23 ,Series,TV-MA,52,Moderate,Severe,Severe,Severe,Moderate
97,After We Fell,2021,5.0,"2,719",Drama,98 ,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild
98,Riverdale,2021,6.7,"130,524","Crime, Drama, Mystery",45 ,Series,TV-14,98,Moderate,Moderate,Mild,Moderate,Moderate
99,The Harder They Fall,2021,5.2,315,"Drama, Western",130 ,Film,R,-,Mild,Severe,Moderate,Moderate,Severe
101,Chicago Med,2021,7.6,"20,080",Drama,43 ,Series,TV-14,126,Mild,Moderate,Mild,Mild,Moderate
104,Promising Young Woman,2020,7.5,"132,936","Crime, Drama, Thriller",113 ,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate
105,Modern Family,2020,8.4,"388,093","Comedy, Drama, Romance",22 ,Series,TV-PG,250,Mild,None,Mild,Mild,None
106,The Mandalorian,2020,8.8,"359,850","Action, Adventure, Sci-Fi",40 ,Series,TV-14,24,None,Moderate,None,None,Moderate
107,Queenpins,2021,6.2,"3,525","Comedy, Crime",110 ,Film,R,-,None,None,Moderate,None,None
108,The Big Bang Theory,2021,8.1,"753,761","Comedy, Romance",22 ,Series,TV-PG,280,Mild,None,Mild,Mild,None
109,The Wire,2021,9.3,"306,334","Crime, Drama, Thriller",59 ,Series,TV-MA,60,Severe,Severe,Severe,Severe,Severe
110,Doctor Who,2021,8.6,"207,605","Adventure, Drama, Family",45 ,Series,TV-PG,200,None,Mild,Mild,None,Moderate
111,Candyman,2021,6.0,"35,936","Horror, Thriller",91 ,Film,R,-,None,Severe,Moderate,Mild,Severe
112,The White Lotus,2021,7.7,"37,058","Comedy, Drama",353 ,Series,TV-MA,7,Moderate,Mild,Moderate,Severe,None
113,The Witcher,2021,8.2,"353,732","Action, Adventure, Fantasy",60 ,Series,TV-MA,17,Severe,Severe,Moderate,Mild,Moderate
114,The Starling,2021,6.3,"6,994","Comedy, Drama",102 ,Film,PG-13,-,Mild,None,Mild,Mild,None
115,Kate,2021,6.3,"41,301","Action, Adventure, Crime",106 ,Film,R,-,Mild,Severe,Severe,Mild,Moderate
117,Knives Out,2019,7.9,"537,031","Comedy, Crime, Drama",130 ,Film,PG-13,-,None,Mild,Moderate,Mild,Mild
118,New Amsterdam,2019,8.1,"30,554",Drama,43 ,Series,TV-14,61,Mild,Moderate,Mild,Moderate,Moderate
119,Cry Macho,2021,5.8,"13,148","Drama, Thriller, Western",104 ,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild
120,Castle,2021,8.1,"146,732","Comedy, Crime, Drama",43 ,Series,TV-14,173,Mild,Moderate,Mild,Mild,Moderate
121,Black Mirror,2021,8.8,"482,062","Drama, Sci-Fi, Thriller",60 ,Series,TV-MA,22,Severe,Severe,Severe,Mild,Severe
123,Till Death,2021,5.8,"12,586","Horror, Thriller",88 ,Film,R,-,Mild,Severe,Moderate,Mild,Moderate
124,The Voyeurs,2021,5.9,"10,281","Drama, Mystery, Thriller",120 ,Film,R,-,Severe,Moderate,Mild,Moderate,Moderate
125,The Crown,2021,8.6,"176,135","Biography, Drama, History",58 ,Series,TV-MA,60,Moderate,Mild,Mild,Mild,Mild
126,Better Call Saul,2021,8.8,"359,684","Crime, Drama",46 ,Series,TV-MA,63,Mild,Moderate,Moderate,Moderate,Moderate
127,The Handmaid's Tale,2021,8.4,"204,512","Drama, Sci-Fi, Thriller",60 ,Series,TV-MA,47,Severe,Severe,Moderate,Mild,Severe
128,Lost,2021,8.3,"520,422","Adventure, Drama, Fantasy",44 ,Series,TV-14,119,Mild,Moderate,Mild,Moderate,Moderate
129,Outlander,2021,8.4,"138,887","Drama, Fantasy, Romance",64 ,Series,TV-MA,87,Severe,Severe,Moderate,Mild,Moderate
130,The Simpsons,2021,8.6,"381,626","Animation, Comedy",22 ,Series,TV-PG,731,Moderate,Moderate,Mild,Moderate,Mild
131,Dear Evan Hansen,2021,6.0,"5,468","Drama, Musical",137 ,Film,PG-13,-,Mild,None,Mild,Mild,Mild
132,CSI: Crime Scene Investigation,2021,7.6,"80,011","Crime, Drama, Mystery",60 ,Series,TV-14,336,Mild,Severe,Mild,Mild,Moderate
134,It's Always Sunny in Philadelphia,2021,8.8,"201,983",Comedy,22 ,Series,TV-MA,157,Moderate,Mild,Severe,Severe,Mild
136,Superstore,2021,7.8,"39,602",Comedy,22 ,Series,TV-14,113,Mild,Mild,Mild,Mild,None
137,The Resident,2021,7.7,"22,186",Drama,60 ,Series,TV-14,76,Mild,Mild,Mild,Mild,Mild
138,Gisaengchung,2019,8.6,"669,620","Comedy, Drama, Thriller",132 ,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate
139,Mr. Robot,2019,8.5,"354,297","Crime, Drama, Thriller",49 ,Series,TV-MA,45,Moderate,Severe,Severe,Severe,Severe
140,Last Night in Soho,2021,7.4,"1,122","Drama, Horror, Mystery",116 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
141,Titanic,1997,7.8,"1,096,676","Drama, Romance",194 ,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Severe
144,Ozark,2022,8.4,"214,799","Crime, Drama, Thriller",60 ,Series,TV-MA,44,Severe,Severe,Severe,Severe,Severe
146,F9,2021,5.2,"97,696","Action, Adventure, Crime",143 ,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate
147,Shingeki no kyojin,2021,9.0,"255,267","Animation, Action, Adventure",24 ,Series,TV-MA,86,Mild,Severe,Moderate,Mild,Severe
148,365 dni,2020,3.3,"67,739","Drama, Romance",114 ,Film,TV-MA,-,Severe,Mild,Moderate,Moderate,Mild
149,Archer,2020,8.6,"144,917","Animation, Action, Comedy",22 ,Series,TV-MA,135,Moderate,Severe,Severe,Severe,Moderate
150,How I Met Your Mother,2020,8.3,"635,038","Comedy, Romance",22 ,Series,TV-14,208,Moderate,None,Mild,Moderate,None
152,Young Sheldon,2021,7.5,"41,356",Comedy,30 ,Series,TV-PG,90,Mild,None,Mild,Mild,None
155,Manifest,2022,7.1,"39,468","Drama, Mystery, Sci-Fi",43 ,Series,TV-14,62,Mild,Mild,Mild,None,Mild
156,S.W.A.T.,2022,7.1,"18,353","Action, Adventure, Crime",43 ,Series,TV-14,89,Mild,Moderate,Mild,Mild,Moderate
157,Friday Night Lights,2022,8.6,"60,640","Drama, Sport",44 ,Series,TV-14,76,Mild,Mild,Mild,Moderate,None
158,9-1-1,2022,7.8,"26,981","Action, Drama, Thriller",43 ,Series,TV-14,65,Mild,Moderate,Mild,Mild,Moderate
159,Heat,1995,8.2,"609,446","Crime, Drama, Thriller",170 ,Film,R,-,Mild,Severe,Severe,Mild,Moderate
161,Chicago P.D.,2021,8.1,"32,212","Action, Crime, Drama",43 ,Series,TV-14,171,Mild,Moderate,Mild,Moderate,Moderate
162,Shameless,2021,8.5,"217,452","Comedy, Drama",46 ,Series,TV-MA,134,Severe,Moderate,Severe,Severe,Moderate
163,The Expanse,2021,8.5,"123,865","Drama, Mystery, Sci-Fi",60 ,Series,TV-14,62,Moderate,Moderate,Moderate,Mild,Moderate
164,Muppets Haunted Mansion,2021,6.7,"2,929","Adventure, Comedy, Family",52 ,Film,TV-PG,-,None,Mild,Mild,None,Moderate
165,Westworld,2021,8.6,"453,101","Drama, Mystery, Sci-Fi",62 ,Series,TV-MA,35,Severe,Severe,Severe,Moderate,Moderate
167,Ghosts,2021,8.2,"8,577","Comedy, Fantasy",30 ,Series,TV-14,19,Mild,Mild,Mild,Mild,None
168,Fear the Walking Dead,2021,6.9,"120,421","Drama, Horror, Sci-Fi",44 ,Series,TV-MA,101,Mild,Severe,Mild,Mild,Severe
169,Cinderella,2021,4.2,"33,916","Adventure, Comedy, Family",113 ,Film,PG,-,Mild,None,Mild,None,None
170,Bridgerton,2021,7.3,"89,503","Drama, Romance",60 ,Series,TV-MA,16,Severe,Mild,Mild,Mild,Mild
171,Halloween,2018,6.5,"132,934","Crime, Horror, Thriller",106 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
172,The Addams Family,2019,5.8,"33,649","Animation, Adventure, Comedy",86 ,Film,PG,-,None,Mild,None,Mild,Mild
173,House M.D.,2019,8.7,"432,280","Drama, Mystery",44 ,Series,TV-14,176,Mild,Moderate,Mild,Moderate,Moderate
174,Good Girls,2019,7.8,"44,113","Comedy, Crime, Drama",43 ,Series,TV-14,50,Mild,Moderate,Mild,Moderate,Mild
175,The Flash,2019,7.6,"325,626","Action, Adventure, Drama",43 ,Series,TV-PG,165,Mild,Mild,Mild,Mild,Mild
176,Scream,1996,7.3,"304,350","Horror, Mystery",111 ,Film,R,-,Mild,Severe,Moderate,Mild,Severe
177,Suits,1996,8.4,"380,478","Comedy, Drama",44 ,Series,TV-14,134,Mild,Mild,Moderate,Moderate,None
178,Once Upon a Time... in Hollywood,2019,7.6,"643,564","Comedy, Drama",161 ,Film,R,-,Mild,Severe,Severe,Moderate,Moderate
